"Cylinders","Fuel_Type","City_MPG","Highway_MPG","CO2_Emissions"
"4","Diesel",36.1,42.1,142
"4","Hybrid",49,52.4,236
"4","Gasoline",48.4,52.3,232
"4","Hybrid",23,26.7,457
"6","Diesel",25.7,29,171
"6","Gasoline",16.3,22.7,297
"8","Gasoline",29,34.3,288
"4","Diesel",44.2,53.7,250
"4","Hybrid",47.1,50.8,185
"3","Gasoline",23.3,32.8,236
"4","Gasoline",24.3,27.9,418
"8","Diesel",22.7,30,187
"6","Hybrid",27.3,32,387
"4","Diesel",43.2,52,258
"6","Gasoline",37.6,41,311
"6","Gasoline",42.5,52.2,106
"3","Gasoline",35.4,38.7,231
"6","Hybrid",24,28.7,337
"4","Diesel",23,29.2,209
"4","Gasoline",15.3,23.6,439
"4","Gasoline",42.3,52,200
"4","Hybrid",44.6,50.6,139
"4","Diesel",41.9,50.2,141
"4","Hybrid",17.6,25.7,198
"4","Gasoline",41.7,48.7,268
"6","Hybrid",16.6,24.4,526
"8","Hybrid",18.7,22,511
"6","Gasoline",30.4,36.5,118
"4","Hybrid",31.7,40.2,256
"4","Gasoline",43.6,49.9,114
"4","Diesel",38.8,47.9,220
"4","Hybrid",20.4,29.2,370
"4","Gasoline",22.9,31.9,409
"6","Diesel",25,28.9,222
"6","Gasoline",19.3,24,184
"6","Diesel",25.1,28.3,440
"4","Hybrid",40.5,50.4,257
"4","Diesel",23.4,28.1,301
"6","Hybrid",44.2,49.8,94
"4","Gasoline",31.4,36.3,240
"4","Gasoline",26.3,29.6,298
"4","Gasoline",29.4,34.2,344
"4","Diesel",39.8,43.5,241
"3","Gasoline",33.1,38.9,121
"6","Diesel",15.3,25.1,491
"6","Gasoline",47.3,55.2,96
"4","Diesel",17.3,25.2,213
"3","Gasoline",47.9,54.1,142
"6","Diesel",16,24.7,218
"4","Diesel",42,51.4,236
"4","Hybrid",33.7,43.4,202
"3","Diesel",32.7,36.4,257
"4","Diesel",17.5,26.7,398
"6","Hybrid",23.4,28,479
"6","Diesel",42.2,48,261
"4","Gasoline",46.2,51.6,229
"4","Hybrid",33.5,41.2,190
"4","Diesel",27.4,34.6,162
"3","Gasoline",17.1,20.9,470
"8","Diesel",38.9,47.4,176
"6","Hybrid",24.7,30.8,206
"4","Hybrid",16.9,19.9,250
"6","Hybrid",38.3,44.2,183
"6","Gasoline",32,38.6,268
"6","Gasoline",15.4,18.9,538
"3","Gasoline",18.9,23,502
"4","Gasoline",39.5,49.5,176
"6","Hybrid",17.2,26.3,302
"4","Gasoline",45.3,49.2,179
"8","Diesel",25.9,33,417
"6","Diesel",18.1,23.8,198
"8","Diesel",41.6,48.4,186
"4","Gasoline",33.4,39.7,181
"6","Gasoline",25.7,29,171
"4","Gasoline",29.2,34.4,238
"8","Gasoline",15.7,19.6,530
"4","Hybrid",38.2,44.6,202
"4","Hybrid",27.8,37.2,123
"6","Gasoline",40,50,196
"4","Hybrid",37,46.6,138
"4","Gasoline",37.8,47.7,158
"8","Diesel",42.8,45.9,146
"4","Gasoline",37.1,45.2,274
"6","Diesel",29.7,34.6,130
"3","Gasoline",28.6,37.7,205
"6","Gasoline",19.2,27.9,306
"6","Gasoline",42.3,48.3,202
"4","Gasoline",41.6,47.9,238
"3","Diesel",23.6,28.5,388
"4","Gasoline",45.2,50.2,217
"3","Diesel",35.6,45.5,134
"3","Diesel",31.8,41,322
"6","Diesel",15.6,19.9,415
"4","Diesel",28.4,33.3,125
"4","Gasoline",37.4,41.2,244
"6","Gasoline",18.1,28,392
"3","Hybrid",31.1,40.5,136
"4","Diesel",49.8,56.7,228
"4","Diesel",40.1,48,197
"4","Diesel",34.1,42.3,206
"6","Gasoline",33.7,38.1,201
"6","Diesel",16.5,26,263
"4","Hybrid",48.5,55.2,233
"3","Gasoline",47.5,51.1,201
"3","Hybrid",38.9,44.7,209
"4","Gasoline",18.5,25.7,420
"8","Gasoline",22.3,27.8,443
"4","Hybrid",21.4,29.3,367
"4","Hybrid",33.2,42.4,126
"4","Hybrid",22.3,30.7,372
"6","Hybrid",39.4,46.9,201
"6","Gasoline",34.1,40.7,326
"6","Diesel",15.6,20.4,565
"6","Gasoline",41,47.2,153
"4","Gasoline",21.6,26.7,204
"4","Gasoline",43.9,53.4,164
"4","Diesel",27.4,36.8,302
"6","Gasoline",26.9,31,183
"6","Hybrid",15.4,24.2,476
"4","Diesel",49.6,57.5,205
"6","Gasoline",36.4,46.2,124
"6","Diesel",29.8,36,302
"6","Gasoline",18.4,26.5,194
"4","Gasoline",39.5,46.1,89
"6","Hybrid",24.9,28.4,151
"4","Gasoline",49.6,52.9,181
"6","Hybrid",48.3,52.2,244
"8","Diesel",40.7,45.8,243
"4","Gasoline",49,53.8,116
"6","Diesel",18.7,26.8,192
"6","Gasoline",24.8,32.8,318
"3","Gasoline",23.9,33.7,131
"4","Gasoline",17.5,22.7,532
"4","Gasoline",49,58.6,109
"8","Gasoline",17.1,24.4,307
"6","Hybrid",45,51.5,140
"4","Gasoline",41.9,49.6,228
"4","Diesel",28.2,36.1,189
"4","Gasoline",15.7,19.9,351
"4","Gasoline",15.2,23.5,438
"3","Gasoline",22.1,30.2,298
"4","Diesel",32.3,42.3,325
"4","Gasoline",31,40.4,170
"4","Gasoline",35.5,43.3,116
"6","Gasoline",42,50,184
"8","Diesel",28.2,37.8,163
"6","Gasoline",20.6,30.4,289
"6","Diesel",43,51.8,114
"4","Gasoline",26.6,35,372
"4","Diesel",25,28.8,246
"4","Gasoline",41.8,50.6,228
"6","Gasoline",47.7,52.5,241
"8","Gasoline",47,53.9,237
"6","Hybrid",19.8,25.6,367
"6","Gasoline",32.6,38,350
"6","Hybrid",18.3,23.5,454
"4","Gasoline",48.6,57.6,92
"4","Gasoline",22.5,30.9,432
"3","Gasoline",21.9,28.6,311
"3","Gasoline",46.1,53.8,102
"6","Hybrid",48.9,58.8,198
"4","Hybrid",39.4,45.2,218
"4","Diesel",19.2,26.1,506
"4","Diesel",32,38.7,311
"4","Gasoline",43.6,53.2,135
"4","Hybrid",35,40.5,159
"4","Gasoline",19.6,29.5,414
"4","Diesel",21,26.1,372
"6","Gasoline",45.2,49,93
"4","Hybrid",33.4,37.7,150
"6","Hybrid",39.7,45.7,119
"6","Hybrid",28.1,35.6,280
"6","Gasoline",33.6,40.2,122
"6","Gasoline",49.2,54.8,107
"4","Gasoline",26.5,33.4,285
"3","Diesel",38.6,47.5,114
"4","Diesel",21,29.9,233
"4","Gasoline",19.3,27.4,500
"8","Gasoline",42.4,52.1,208
"6","Gasoline",44.5,51.6,134
"3","Hybrid",38.4,41.5,286
"4","Gasoline",20.5,25.5,258
"4","Diesel",23.4,28.7,342
"6","Gasoline",46.9,53.7,139
"6","Gasoline",25.1,34.4,347
"6","Hybrid",43.7,52.6,145
"8","Gasoline",25,29.6,217
"4","Gasoline",47.9,54.5,177
"4","Gasoline",47,54.6,202
"4","Gasoline",16.5,26.4,394
"4","Diesel",42,45.2,230
"8","Gasoline",20.9,27.1,310
"4","Diesel",22.5,32.4,390
"6","Gasoline",31.1,40.9,246
"4","Hybrid",35.2,40.5,144
"3","Hybrid",26.4,29.4,414
"3","Hybrid",35.1,42.2,286
"4","Hybrid",21,30.1,477
"6","Gasoline",15.8,21.1,473
"4","Gasoline",35,44.5,243
"6","Diesel",33.1,38.4,316
"6","Gasoline",39.1,46.4,98
"4","Gasoline",37.7,45.8,281
"6","Gasoline",46.4,51.8,125
"4","Gasoline",31.1,36.6,126
"6","Gasoline",15.3,21.6,316
"6","Gasoline",37.1,45.9,214
"8","Gasoline",38.6,42.3,103
"4","Diesel",33.3,40.7,102
"4","Gasoline",39.1,46.8,218
"4","Hybrid",26.3,33.2,259
"4","Gasoline",20.2,29.8,446
"6","Diesel",38.3,45.5,143
"8","Gasoline",23.6,31,227
"4","Gasoline",31,38.2,128
"4","Gasoline",32.2,40.3,233
"4","Gasoline",31.7,35.6,207
"4","Hybrid",35.9,45.2,166
"4","Diesel",16,19.3,439
"4","Gasoline",49.6,57.1,210
"6","Gasoline",40.1,47.4,107
"3","Gasoline",29.9,34.4,259
"4","Gasoline",21.7,25,234
"6","Gasoline",17.8,21.8,283
"4","Hybrid",38.5,43.4,146
"6","Gasoline",26.1,35.3,253
"6","Diesel",23,32,294
"6","Diesel",28.3,31.7,379
"4","Hybrid",35.8,40.8,302
"4","Gasoline",38.5,47.7,206
"6","Diesel",37.6,42.3,156
"6","Hybrid",45.2,55.2,217
"4","Gasoline",22.7,27.5,426
"4","Gasoline",37.3,45.5,259
"3","Hybrid",18.5,24.4,182
"3","Diesel",34.2,38.2,286
"4","Gasoline",35.4,40.2,297
"3","Gasoline",22.6,30.3,342
"4","Gasoline",28.7,34.1,329
"6","Gasoline",44,51.2,221
"4","Gasoline",20.2,24.6,365
"6","Gasoline",30.2,36.3,327
"6","Diesel",47.6,54.2,210
"4","Diesel",32.6,38.5,331
"6","Hybrid",40.4,44.8,277
"6","Gasoline",43.9,50.1,178
"4","Hybrid",22.1,30,155
"4","Gasoline",22.6,32.4,142
"4","Gasoline",41.6,50.1,261
"8","Hybrid",41.4,45.5,154
"6","Gasoline",17.1,22,361
"4","Gasoline",26.3,29.9,280
"6","Gasoline",28.9,32.8,197
"4","Gasoline",44,48.8,192
"4","Diesel",29.8,34.2,332
"6","Hybrid",47.4,51.9,121
"4","Diesel",49.9,54.5,196
"6","Hybrid",42.3,47.4,215
"6","Diesel",38.3,42.2,207
"6","Hybrid",28.7,33.6,212
"4","Gasoline",17.3,25.1,537
"6","Hybrid",35.1,39.8,194
"8","Gasoline",27.7,31.9,236
"4","Hybrid",27.3,30.8,322
"4","Gasoline",39.1,45.6,279
"4","Diesel",31.2,40.1,230
"6","Diesel",41.3,44.7,234
"6","Hybrid",28.9,35.7,240
"4","Diesel",20.3,27.9,235
"6","Gasoline",31.1,38.2,140
"4","Gasoline",48.3,57.4,94
"6","Gasoline",43.1,52.2,83
"4","Gasoline",22.2,25.6,359
"4","Gasoline",28.7,34.2,156
"4","Gasoline",47.5,55.2,221
"4","Gasoline",19.3,29,511
"6","Hybrid",23.9,32.5,287
"4","Hybrid",24.2,28.4,292
"4","Gasoline",35,40,181
"4","Gasoline",29.4,37.7,278
"3","Gasoline",17.8,24.1,433
"6","Gasoline",37,43.8,167
"6","Gasoline",18.5,25.8,305
"3","Gasoline",36.2,39.9,247
"4","Gasoline",32.7,41.7,231
"3","Gasoline",32.3,41.3,273
"8","Gasoline",17.4,23.7,583
"8","Gasoline",37.4,44.8,257
"6","Diesel",30.1,37.7,189
"8","Hybrid",29.4,33.7,329
"6","Gasoline",35.9,39.7,203
"6","Gasoline",36.2,39.3,280
"4","Gasoline",15.5,24.9,570
"4","Gasoline",19.4,24.8,269
"4","Gasoline",23.3,26.9,233
"4","Gasoline",38.7,45,180
"6","Gasoline",35.2,38.7,114
"4","Gasoline",41.5,45.1,225
"4","Diesel",40.9,47.3,234
"4","Gasoline",44.9,51.5,141
"4","Gasoline",28.2,35.3,246
"4","Gasoline",27.1,34.7,289
"8","Gasoline",44.1,51.8,92
"6","Hybrid",23.3,29.3,379
"6","Diesel",31.1,38.6,240
"4","Gasoline",21.8,26.9,378
"4","Diesel",47,53.1,201
"4","Diesel",29.3,35.1,300
"6","Gasoline",22.4,27.7,183
"4","Gasoline",39.2,43.9,255
"3","Hybrid",23.6,27.1,358
"6","Gasoline",48,54.5,195
"4","Gasoline",27.9,34.7,193
"4","Gasoline",38.3,43.7,139
"3","Diesel",27.1,36.9,343
"4","Hybrid",43.3,50.2,153
"4","Hybrid",46.4,55.6,172
"3","Diesel",42.6,49.6,186
"6","Hybrid",44.7,49,189
"6","Diesel",18.6,28.4,185
"4","Diesel",47.3,56.5,123
"6","Hybrid",36.9,43.2,108
"4","Gasoline",45.4,50.1,167
"4","Diesel",39,43.6,282
"4","Diesel",22.1,30.7,271
"6","Hybrid",36.3,39.8,278
"4","Hybrid",18.2,25.7,285
"6","Hybrid",39.4,46.9,261
"6","Hybrid",29.3,33.6,236
"4","Gasoline",20.3,28.2,283
"6","Gasoline",49.3,57.2,185
"8","Gasoline",46.5,52,167
"4","Gasoline",46.3,52.7,135
"4","Gasoline",42.6,51.4,91
"6","Gasoline",39.2,45.9,122
"6","Gasoline",37.9,45.2,253
"4","Hybrid",18.7,24.6,545
"4","Gasoline",46.5,50.5,108
"4","Hybrid",45.8,55.8,172
"4","Hybrid",41.2,47.9,91
"4","Gasoline",47.5,52.9,125
"8","Gasoline",34.4,42.4,200
"6","Diesel",30.7,38,297
"4","Diesel",48.9,53.5,81
"6","Gasoline",31.2,40.3,296
"6","Gasoline",37.4,40.9,141
"4","Gasoline",28.1,35.3,328
"4","Gasoline",37.3,43.6,228
"4","Gasoline",40.2,45.4,157
"6","Gasoline",36.9,45.7,244
"3","Diesel",33,40.6,158
"8","Hybrid",25.5,33.8,191
"4","Diesel",37.5,43.4,106
"4","Hybrid",46.8,56.4,139
"4","Diesel",15.2,20.6,257
"4","Diesel",19.7,26.4,322
"6","Gasoline",19.2,28.7,160
"8","Gasoline",47.3,50.9,104
"4","Hybrid",38.2,42,297
"8","Hybrid",48.3,58.3,201
"6","Gasoline",35.4,45.2,144
"4","Gasoline",31.2,39.6,283
"6","Diesel",42.7,49.1,209
"4","Gasoline",20.6,27.1,222
"4","Gasoline",28.3,33.1,228
"3","Hybrid",31.3,37.3,342
"6","Gasoline",25.4,31.4,360
"3","Diesel",28,31.3,351
"6","Hybrid",17.7,23.9,418
"6","Gasoline",21.9,28.3,381
"4","Gasoline",26.7,34.4,268
"4","Gasoline",42.9,49.5,221
"4","Gasoline",21.4,30.4,392
"4","Diesel",27.1,32.7,135
"4","Gasoline",17.3,23.2,458
"4","Gasoline",34.5,41.5,244
"4","Gasoline",36.4,40.8,112
"3","Gasoline",45.3,51.1,152
"3","Gasoline",43.7,51.5,244
"4","Diesel",25,30.9,433
"6","Gasoline",19.8,29.1,433
"8","Gasoline",20.5,27.8,210
"4","Gasoline",48.9,53,138
"4","Hybrid",38.6,45,128
"4","Gasoline",16.5,24.9,457
"4","Diesel",19.8,27.3,446
"4","Gasoline",32,41.2,314
"6","Diesel",22.3,30.5,427
"8","Gasoline",43.1,46.5,103
"4","Hybrid",35.1,38.9,131
"6","Diesel",36.4,43.9,292
"3","Hybrid",31.2,35.9,332
"4","Gasoline",24,31.1,282
"4","Diesel",35.6,44.1,189
"4","Diesel",40.1,47.1,197
"4","Gasoline",28,33.9,290
"4","Gasoline",32.7,40.2,164
"4","Diesel",44.4,48.4,157
"4","Gasoline",20.2,28.3,378
"6","Diesel",34.1,42,146
"8","Gasoline",27.2,33.8,410
"4","Gasoline",39.6,44.6,148
"4","Diesel",15.7,24.3,429
"4","Gasoline",38.5,45.1,206
"6","Hybrid",18.6,22,379
"4","Hybrid",17.3,26.7,267
"4","Diesel",40.4,48.8,195
"4","Hybrid",37.4,44.5,111
"4","Hybrid",46.3,52.4,145
"4","Gasoline",33.2,42.9,150
"8","Hybrid",33.6,42,128
"6","Gasoline",39.7,46.4,275
"3","Gasoline",26.3,33.9,328
"4","Gasoline",16.3,21.3,278
"4","Diesel",23.1,27.5,477
"4","Gasoline",23.3,28.2,219
"6","Gasoline",26.7,31.8,199
"4","Diesel",48,56.2,94
"4","Gasoline",43.2,47.2,224
"4","Diesel",47.8,56.2,168
"6","Diesel",50,56.7,80
"6","Gasoline",30.2,35.9,120
"4","Gasoline",22.9,28,330
"4","Diesel",34.6,41.2,249
"4","Gasoline",45.8,51,226
"8","Gasoline",31.3,37.3,231
"4","Gasoline",32.7,40.9,263
"4","Gasoline",19.7,27.1,435
"4","Gasoline",29.7,37.9,270
"6","Gasoline",28.5,36.5,210
"4","Diesel",27.3,36,155
"4","Gasoline",46.1,50.5,195
"4","Hybrid",17.1,27.1,474
"6","Gasoline",49,55.3,104
"6","Gasoline",15.3,23.3,419
"6","Diesel",48.1,55.8,139
"4","Diesel",34.2,41.2,147
"3","Diesel",39.6,49.6,132
"8","Diesel",21.5,26,245
"4","Diesel",37.9,43.9,181
"6","Gasoline",45.9,49.8,150
"6","Diesel",19.9,24.2,390
"4","Diesel",19.4,27.4,195
"4","Hybrid",25.6,28.6,326
"6","Diesel",20.7,29.9,156
"6","Diesel",18.9,26.3,266
"4","Gasoline",38.7,44.8,195
"4","Hybrid",22.5,27.8,388
"4","Hybrid",38.3,42.2,261
"3","Diesel",45.2,54.7,81
"4","Diesel",37.8,45.8,202
"4","Gasoline",19.2,24.6,313
"8","Diesel",35.1,38.6,267
"6","Diesel",28.8,34.1,198
"6","Diesel",27,31.3,352
"4","Gasoline",26.1,34.6,297
"4","Diesel",47.5,55.5,207
"8","Gasoline",41,47.5,279
"4","Diesel",19.7,28.9,481
"4","Gasoline",31.7,36,264
"4","Diesel",26.1,32.3,396
"6","Gasoline",49.2,57.2,96
"6","Gasoline",49.2,52.7,81
"3","Diesel",26.2,31.8,290
"6","Gasoline",27.3,34.3,399
"4","Diesel",36,41.6,257
"3","Hybrid",31.8,38.2,183
"6","Hybrid",22.5,29.8,367
"6","Gasoline",38.1,43.7,100
"4","Hybrid",26.7,30.4,276
"4","Gasoline",37.9,41.9,146
"6","Hybrid",28.4,35.1,132
"6","Diesel",39.5,43.7,143
"6","Gasoline",38.4,47.6,234
"4","Gasoline",32.8,41.6,230
"8","Gasoline",39.7,45.1,93
"8","Diesel",31.1,39.9,207
"4","Gasoline",19.1,25.8,460
"6","Diesel",21.4,25.5,516
"4","Diesel",23.6,30.9,418
"4","Hybrid",17.2,25,178
"6","Hybrid",39.9,43.5,136
"3","Gasoline",27.9,33.1,183
"4","Diesel",18.3,21.3,372
"6","Hybrid",43.7,48.9,203
"4","Hybrid",38.9,44.2,122
"4","Gasoline",30.8,38.2,341
"8","Gasoline",23.7,28.1,407
"4","Gasoline",20.3,23.5,339
"4","Gasoline",31,36.2,264
"4","Gasoline",46,54.8,168
"4","Gasoline",21.6,27.4,361
"6","Diesel",34.9,40.8,298
"6","Gasoline",48.7,55,106
"4","Diesel",37.3,45.6,235
"6","Gasoline",30.4,36.8,139
"4","Hybrid",40.1,43.7,185
"4","Hybrid",43.9,48.3,202
"6","Diesel",35.7,40,102
"6","Hybrid",45.5,52.1,96
"4","Gasoline",33,36.2,131
"3","Diesel",44.1,49.1,151
"4","Gasoline",48.3,55.6,177
"4","Gasoline",32.5,38,354
"4","Gasoline",36.2,44.2,149
"6","Gasoline",36.3,42,126
"3","Gasoline",42.4,52.3,156
"6","Diesel",43.8,53.6,103
"4","Gasoline",16,24.6,195
"4","Hybrid",40.7,50.4,191
"4","Diesel",42.4,46.8,257
"4","Gasoline",39.5,47.8,258
"6","Gasoline",40,45.3,109
"3","Hybrid",16.4,24.5,246
"4","Gasoline",30.5,36.1,242
"6","Gasoline",43.6,48.6,151
"6","Diesel",47.7,57.4,188
"4","Gasoline",23,27.5,320
"4","Gasoline",35.3,43.6,100
"6","Gasoline",43.2,50.9,133
"8","Gasoline",41.3,46.4,265
"6","Gasoline",36.7,42.9,207
"4","Gasoline",15.7,19.7,606
"8","Gasoline",40.3,49.7,162
"3","Gasoline",42.1,51.9,206
"3","Hybrid",40.3,48.4,118
"6","Gasoline",41.8,50.7,220
"4","Diesel",30.1,33.7,333
"3","Gasoline",49.8,55.5,86
"4","Gasoline",42,47.3,120
"4","Hybrid",35.3,42.3,201
"6","Diesel",47.7,52,187
"6","Gasoline",46.8,53.7,186
"4","Gasoline",43.5,51.1,203
"4","Gasoline",34.7,38.6,273
"8","Hybrid",33.4,37.3,231
"6","Gasoline",26.5,29.7,312
"4","Gasoline",23.8,32.1,137
"8","Diesel",32.9,38.2,146
"6","Hybrid",35.2,39.8,216
"3","Hybrid",23.6,32,370
"3","Gasoline",47.3,51.3,220
"4","Diesel",34.5,40.5,270
"6","Diesel",33.4,41.6,213
"4","Diesel",30.2,37.2,184
"4","Hybrid",17,23.9,374
"3","Hybrid",45.9,50,80
"8","Gasoline",26.1,30.4,318
"4","Gasoline",37.5,44.6,107
"8","Diesel",36.3,39.5,133
"8","Gasoline",35.5,44.6,230
"3","Gasoline",33.4,38.9,107
"4","Gasoline",21.4,27.3,360
"3","Hybrid",24.8,29.6,343
"8","Gasoline",33.3,42.4,281
"4","Diesel",42.6,50.1,94
"3","Gasoline",30.1,36.2,114
"4","Gasoline",22.1,29.2,408
"4","Gasoline",18.1,23.8,300
"8","Gasoline",38.2,44.5,278
"6","Hybrid",29.8,35.3,165
"6","Hybrid",19.4,25.3,397
"4","Diesel",38.6,43.8,114
"3","Gasoline",22.3,25.8,302
"8","Gasoline",32.8,36.1,333
"3","Gasoline",25.7,29.9,326
"8","Gasoline",47.6,52.4,196
"4","Gasoline",23,32.2,208
"3","Diesel",29.7,37,355
"6","Gasoline",48.6,58.3,172
"8","Gasoline",26.2,31.6,162
"8","Hybrid",37.6,43.4,96
"4","Gasoline",26.1,34.1,129
"4","Hybrid",18.9,25.9,187
"4","Hybrid",37,43.7,291
"6","Gasoline",47.1,54.1,136
"6","Gasoline",30.8,37.9,185
"4","Diesel",36.9,45.3,180
"8","Gasoline",36.3,44,183
"6","Gasoline",29.5,39.2,170
"6","Diesel",36.5,46.1,110
"4","Gasoline",24.1,30.1,173
"4","Gasoline",28.2,31.5,301
"8","Diesel",30.5,33.6,225
"4","Diesel",45.2,49.1,247
"6","Gasoline",27.2,30.7,270
"8","Gasoline",37.2,42.8,204
"6","Gasoline",22.5,25.9,491
"4","Gasoline",23.8,31.2,296
"3","Diesel",37.7,42,204
"3","Diesel",41.7,48.3,154
"4","Diesel",31.2,34.9,302
"4","Gasoline",26.7,35.5,231
"4","Gasoline",46.9,55.4,174
"4","Gasoline",19.8,25.5,338
"4","Gasoline",40.2,49.6,187
"4","Gasoline",39.2,43.5,266
"3","Gasoline",39.2,47.9,169
"3","Gasoline",47.7,54.5,113
"6","Diesel",40.5,45.8,203
"4","Diesel",25.6,29.2,436
"4","Gasoline",27.4,31.6,333
"6","Gasoline",28.7,37.7,194
"6","Hybrid",16.1,23.3,618
"4","Hybrid",47,51.7,137
"6","Gasoline",17.6,24.1,592
"8","Diesel",39.5,43.3,131
"6","Hybrid",40.6,44.3,294
"4","Gasoline",44.5,53.9,90
"6","Gasoline",34.4,40.6,266
"4","Gasoline",40.4,45.9,237
"4","Gasoline",25.6,35.2,319
"8","Gasoline",41.1,46.9,240
"4","Hybrid",27,32.4,265
"8","Diesel",46.6,51.5,86
"4","Gasoline",20.7,27.7,284
"8","Gasoline",26.1,33,317
"4","Diesel",32.5,35.6,276
"3","Gasoline",42.2,49.8,119
"4","Gasoline",41.2,49.7,131
"4","Hybrid",22.4,29.7,307
"3","Gasoline",20,29.1,412
"6","Gasoline",25.6,30.5,400
"4","Gasoline",31.9,36.2,132
"6","Gasoline",33.9,41.8,313
"4","Gasoline",30,34.3,369
"4","Gasoline",38.2,41.8,95
"8","Diesel",30,33.7,257
"4","Gasoline",48.1,56.5,170
"6","Gasoline",24.1,27.3,334
"6","Gasoline",37,42,231
"4","Gasoline",36.4,40.3,213
"8","Hybrid",24.9,33.2,218
"6","Gasoline",29.4,35.9,141
"4","Diesel",27.8,32.2,186
"6","Gasoline",21,29.3,407
"4","Gasoline",31.7,40,163
"4","Diesel",28.5,35.2,346
"8","Gasoline",21.2,26.1,308
"6","Diesel",30.7,37.8,215
"6","Gasoline",29.8,39.3,328
"6","Gasoline",19.6,23,264
"6","Diesel",19.6,24.5,245
"8","Diesel",37.7,42.7,308
"4","Diesel",39.7,47.1,195
"4","Diesel",47.9,55.5,105
"4","Hybrid",18,22.4,257
"6","Gasoline",19.1,23.6,529
"4","Gasoline",16.8,26.3,418
"3","Gasoline",33.6,41.9,126
"4","Gasoline",36.8,46.3,277
"8","Gasoline",29.1,37.9,228
"6","Hybrid",42.9,48.7,271
"4","Gasoline",39,42.9,152
"4","Diesel",49.5,56.9,157
"4","Gasoline",19.8,25.3,233
"4","Gasoline",17,23,380
"4","Hybrid",24.6,30.6,192
"8","Gasoline",15.7,25.3,314
"8","Gasoline",47.6,51.1,124
"4","Gasoline",25.6,30,224
"3","Diesel",34.3,41.6,322
"4","Gasoline",26.1,35.3,133
"4","Gasoline",23.6,33,286
"4","Diesel",20.3,27.2,390
"4","Gasoline",26.2,29.4,343
"4","Diesel",36.5,42,264
"6","Gasoline",49,58.4,194
"6","Gasoline",34.5,41,321
"6","Diesel",33.6,41.7,275
"4","Hybrid",16.2,21.1,588
"8","Diesel",44.4,47.6,183
"8","Diesel",16.6,23.6,473
"4","Gasoline",46.7,55.5,155
"4","Gasoline",33.9,43.8,159
"4","Gasoline",20.9,29.8,256
"3","Hybrid",30.8,37.7,202
"4","Hybrid",49.8,57.1,126
"4","Hybrid",25.7,34.5,280
"4","Gasoline",24.4,27.5,228
"4","Gasoline",19.1,28.8,345
"4","Diesel",35.9,42.6,300
"8","Diesel",18.1,27.8,318
"4","Diesel",41.8,50.2,124
"6","Diesel",47.2,51.3,138
"3","Gasoline",47.6,51.8,230
"3","Gasoline",18.8,24.3,556
"4","Gasoline",34.5,39.3,312
"4","Gasoline",18.4,24.5,292
"3","Gasoline",35,42.2,185
"4","Gasoline",43.5,49.6,264
"4","Gasoline",33.8,37.2,185
"6","Diesel",45.5,55.3,98
"4","Hybrid",43.1,49.1,135
"6","Hybrid",24.7,33.7,417
"4","Gasoline",37.1,40.6,190
"6","Gasoline",15.3,24,607
"4","Gasoline",28.9,33.1,150
"6","Hybrid",23.3,31.1,384
"8","Gasoline",47.8,55.4,89
"8","Gasoline",29.2,38.6,162
"3","Hybrid",37.9,43.1,226
"6","Gasoline",40.6,44.4,178
"3","Hybrid",42.1,51.2,205
"8","Gasoline",40.8,46.1,282
"4","Gasoline",25.1,29.7,154
"4","Gasoline",39,45.4,129
"3","Hybrid",34.2,38.2,258
"4","Hybrid",35.9,41,302
"6","Gasoline",15,20.7,601
"8","Gasoline",24,28.9,296
"6","Gasoline",47.6,53.8,203
"6","Hybrid",25.2,30.9,199
"6","Diesel",30.3,38.7,112
"4","Diesel",21.5,30.9,333
"3","Gasoline",19.9,23.6,500
"3","Gasoline",22.3,31.1,282
"4","Gasoline",34.4,43.9,223
"4","Diesel",47.2,55,146
"3","Hybrid",26.4,36.4,263
"4","Gasoline",26.3,31.6,397
"4","Gasoline",34.7,43.5,203
"8","Gasoline",27.5,35.2,122
"4","Gasoline",46.9,52.2,217
"4","Hybrid",28.2,36.1,285
"4","Gasoline",32.2,38.8,286
"4","Hybrid",33.7,38,325
"3","Diesel",42.4,46.6,141
"4","Diesel",34.7,42.7,211
"3","Hybrid",23.4,31.4,329
"4","Diesel",19.3,26,299
"4","Hybrid",47.8,54.3,218
"4","Gasoline",43.1,47.4,218
"6","Diesel",15.8,21.8,541
"4","Diesel",43.8,52.9,224
"4","Gasoline",35.7,44.7,149
"4","Diesel",33.2,40.8,278
"6","Diesel",15.4,25.4,516
"4","Hybrid",42.3,51.6,237
"6","Gasoline",21.9,25.9,336
"6","Diesel",40.5,46.3,188
"4","Gasoline",15.6,19.5,263
"4","Diesel",42.9,49.2,243
"4","Gasoline",15.8,24.2,421
"3","Gasoline",23.3,27.4,353
"3","Gasoline",24.4,33.6,166
"4","Gasoline",20.5,27.5,376
"4","Gasoline",31.8,40,115
"4","Gasoline",24.9,28.2,446
"6","Diesel",49.8,53.5,219
"4","Hybrid",35.3,42.6,140
"8","Gasoline",34.8,43.7,228
"8","Gasoline",22.7,31.8,331
"8","Gasoline",29.3,37.1,325
"6","Diesel",19.3,23.7,482
"4","Gasoline",41.7,46.1,283
"3","Gasoline",26.6,35.8,219
"4","Gasoline",41.3,45.1,112
"4","Gasoline",28,35.8,275
"6","Gasoline",49.6,56.3,197
